Drug Class,Medications,AHA Lab Trigger,Caution Headline,Caution Note,ICD-10 Diagnostic Code,SNOMED,,
Hormones: gonadotropin-releasing hormone (GnRH) agonist,"leuprolide, buserelin, deslorelin, fertirelin, gonadorelin, histrelin, nafarelin, and triptorelin","dysfunctional or problematic kidney, liver, thyroid, or heart issues; abnormal creatinine or BUN level",Adverse effect hormone,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T38.805A,293133009,,
Hormones: growth hormone,"Genotropin, Humatrope, Norditropin, Nutropin/Nutropin AQ, Serostim, Zomacton, sermorelin, human chorionic gonadotropin (Pregnyl, Novarel), choriogonadotropin alfa (Ovidrel), follitropin alfa (Gonal-F RFF, Gonal-F), menotropins (Menopur), Follistim AQ, Gonal-F","abnormally high blood glucose, HbA1c, cholesterol, or triglyceride levels ",Adverse effect hormone,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T38.805A,293133009,,
Hormones: Androgens,"Methytestosterone, testosterone, Bicalutamide, Danazol, Fluoxymesterone, Nilutamide, Oxandrolone, Oxymetholone, Testosterone cypionate, Testosterone enanthate, Testosterone undecanoate, trenbolone, oxymetholone, methandrostenolone, nandrolone, stanozolol, boldenone","dysfunctional or problematic kidney, liver, thyroid, or heart issues; abnormal creatinine or BUN level",Adverse effect hormone,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T38.805A,293133009,,
Hormones: progestins,"Megestrol (Megace and Megace ES), Heather, Depo-Provera, Nexplanon, Mirena, Kyleena, Liletta, Skyla, Medroxyprogesterone (Provera, Amen, Curretab, Cycrin), Norethindrone (Camila, Errin, Micronor, Aygestin), Levonorgestrel (Aftera, Fallback Solo, Plan B One-Step), Desogestrel, Dydrogesterone, Norgestrel, Norgestimate, Progesterone","dysfunctional or problematic kidney, liver, thyroid, or heart issues; abnormal creatinine or BUN level",Adverse effect hormone,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T38.805A,293133009,,
Hormones: estrogens,"estradiol, ethinylestradiol, mestranol, quinestrol, diethystilbestrol, and estropipate (brand names include: EstroGel, Evamist, Femring, Menest, Menostar, Minivelle, Ogen, Premarin); vaginal estrogen ","dysfunctional or problematic kidney, liver, thyroid, or heart issues; abnormal creatinine or BUN level",Adverse effect hormone,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T38.805A,293133009,,
Hormones: selective estrogen receptor modulators (SERMs),"Tamoxifen (Nolvadex), Raloxifene (Evista), Toremifene (Fareston), Clomiphene (Clomid), Ospemifene (Osphena), Fulvestrant (Faslodex)","dysfunctional or problematic kidney, liver, thyroid, or heart issues; abnormal creatinine or BUN level",Side effect of drug,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
Hormones: anti-androgen (anti-testosterone),"abiraterone, apalutamide, bicalutamide, cyproterone acetate, darolutamide, enzalutamide, flutamide, nilutamide","dysfunctional or problematic kidney, liver, thyroid, or heart issues; abnormal creatinine or BUN level",Side effect of drug,"The medication altersss hormonal balance and metabolic pathways, resulting in decreased dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer cell growth.",T88.7XXA,69449002,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
It is best to gradually taper off of all drugs used long-term to avoid rebound side effects. ,,,,,,,,
,,,,,,,,
Deprescribing Resources,,,,,,,,
https://deprescribing.org/resources/,evidence-based guidelines and easy-to-use algorithms about when and how to stop common types of medications,,69449002,,,T88.7XXA,,Side effect of drug
https://www.deprescribingnetwork.ca/,"resources for healthcare professionals, including deprescribing-oriented patient handouts about medications that are commonly inappropriate for older patients and those with complex chronic conditions",,401207004,,,T50.905A,,Medication side effects present
HealthinAging.org,,,35688006,,,T88.9XXA,,Side effects of treatment
www.ahealthacademy.com,,,,,,,,
